(158316) heapMonitor_checkFreeHeapSize: New heap low water mark 114484
***Stage1 ON***
[11]TC TEC set to 50°C
(176166) _setStage1TecTempC: TEC Set Temp 50.000000
(176167) _resetThermalControlState: RESET Peltier 0 control state
(176171) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(176178) _setThermalControlState: thermalControl-0: changing state 3->1
(176185) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(176192) thermalControlSetEnable: Enabling Peltier 0
(176300) TC: TC-0 = 23.17, modeled = 20.72, target = 50.00, heatSink = -88.48, output = 100.0, timeout = 100, exptTempC = 0.00, TecRate = 0.041
(176446) TC: TC-0 = 23.17, modeled = 20.72, target = 50.00, heatSink = -88.23, output = 100.0, timeout = 250, exptTempC = 0.00, TecRate = 0.040
(176597) TC: TC-0 = 23.18, modeled = 20.73, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 400, exptTempC = 0.00, TecRate = 0.033
(176746) TC: TC-0 = 23.19, modeled = 20.73, target = 50.00, heatSink = -88.25, output = 100.0, timeout = 550, exptTempC = 0.00, TecRate = 0.038
(176898) TC: TC-0 = 23.19, modeled = 20.74, target = 50.00, heatSink = -89.04, output = 100.0, timeout = 700, exptTempC = 0.00, TecRate = 0.034
(177048) TC: TC-0 = 23.20, modeled = 20.75, target = 50.00, heatSink = -89.14, output = 100.0, timeout = 850, exptTempC = 0.00, TecRate = 0.043
(177199) TC: TC-0 = 23.21, modeled = 20.75, target = 50.00, heatSink = -88.75, output = 100.0, timeout = 1000, exptTempC = 0.00, TecRate = 0.039
(177354) TC: TC-0 = 23.21, modeled = 20.76, target = 50.00, heatSink = -88.37, output = 100.0, timeout = 1150, exptTempC = 0.00, TecRate = 0.051
(177499) TC: TC-0 = 23.22, modeled = 20.76, target = 50.00, heatSink = -88.23, output = 100.0, timeout = 1300, exptTempC = 0.00, TecRate = 0.038
(177650) TC: TC-0 = 23.23, modeled = 20.77, target = 50.00, heatSink = -87.95, output = 100.0, timeout = 1450, exptTempC = 0.00, TecRate = 0.036
(177800) TC: TC-0 = 23.24, modeled = 20.77, target = 50.00, heatSink = -88.95, output = 100.0, timeout = 1600, exptTempC = 0.00, TecRate = 0.043
(177950) TC: TC-0 = 23.24, modeled = 20.78, target = 50.00, heatSink = -88.99, output = 100.0, timeout = 1750, exptTempC = 0.00, TecRate = 0.046
(178100) TC: TC-0 = 23.25, modeled = 20.79, target = 50.00, heatSink = -88.37, output = 100.0, timeout = 1900, exptTempC = 0.00, TecRate = 0.044
(178256) TC: TC-0 = 23.26, modeled = 20.79, target = 50.00, heatSink = -88.42, output = 100.0, timeout = 2050, exptTempC = 0.00, TecRate = 0.022
(178400) TC: TC-0 = 23.27, modeled = 20.80, target = 50.00, heatSink = -88.47, output = 100.0, timeout = 2200, exptTempC = 0.00, TecRate = 0.049
(178551) TC: TC-0 = 23.28, modeled = 20.81, target = 50.00, heatSink = -88.15, output = 100.0, timeout = 2350, exptTempC = 0.00, TecRate = 0.054
(178700) TC: TC-0 = 23.30, modeled = 20.82, target = 50.00, heatSink = -88.99, output = 100.0, timeout = 2500, exptTempC = 0.00, TecRate = 0.047
