***Stage1 ON***
[17]TC TEC set to 50°C
(57815) _setStage1TecTempC: TEC Set Temp 50.000000
(57816) _resetThermalControlState: RESET Peltier 0 control state
(57819) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(57826) _setThermalControlState: thermalControl-0: changing state 3->1
(57834) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(57841) thermalControlSetEnable: Enabling Peltier 0
(57876) TC: TC-0 = 21.23, modeled = 14.02, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 50, exptTempC = 0.00, TecRate = 0.066
(58027) TC: TC-0 = 21.23, modeled = 14.04, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 200, exptTempC = 0.00, TecRate = 0.150
(58177) TC: TC-0 = 21.23, modeled = 14.07, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 350, exptTempC = 0.00, TecRate = 0.159
(58331) TC: TC-0 = 21.23, modeled = 14.09, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 500, exptTempC = 0.00, TecRate = 0.175
(58478) TC: TC-0 = 21.24, modeled = 14.11, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 650, exptTempC = 0.00, TecRate = 0.158
(58628) TC: TC-0 = 21.23, modeled = 14.14, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 800, exptTempC = 0.00, TecRate = 0.144
(58777) TC: TC-0 = 21.24, modeled = 14.16, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 950, exptTempC = 0.00, TecRate = 0.167
(58928) TC: TC-0 = 21.24, modeled = 14.18, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 1100, exptTempC = 0.00, TecRate = 0.149
(59078) TC: TC-0 = 21.23, modeled = 14.21, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 1250, exptTempC = 0.00, TecRate = 0.156
(59230) TC: TC-0 = 21.24, modeled = 14.23, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 1400, exptTempC = 0.00, TecRate = 0.158
(59379) TC: TC-0 = 21.24, modeled = 14.25, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 1550, exptTempC = 0.00, TecRate = 0.166
(59529) TC: TC-0 = 21.25, modeled = 14.28, target = 50.00, heatSink = -86.87, output = 100.0, timeout = 1700, exptTempC = 0.00, TecRate = 0.158
(59680) TC: TC-0 = 21.25, modeled = 14.30, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 1850, exptTempC = 0.00, TecRate = 0.175
(59831) TC: TC-0 = 21.25, modeled = 14.33, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 2000, exptTempC = 0.00, TecRate = 0.160
(59982) TC: TC-0 = 21.26, modeled = 14.35, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 2150, exptTempC = 0.00, TecRate = 0.177
(60131) TC: TC-0 = 21.27, modeled = 14.38, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 2300, exptTempC = 0.00, TecRate = 0.167
(60287) TC: TC-0 = 21.27, modeled = 14.40, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 2450, exptTempC = 0.00, TecRate = 0.136
(60432) TC: TC-0 = 21.28, modeled = 14.43, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 2600, exptTempC = 0.00, TecRate = 0.165
(60583) TC: TC-0 = 21.28, modeled = 14.45, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 2750, exptTempC = 0.00, TecRate = 0.158
(60733) TC: TC-0 = 21.28, modeled = 14.48, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 2900, exptTempC = 0.00, TecRate = 0.157
(60884) TC: TC-0 = 21.29, modeled = 14.50, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 3050, exptTempC = 0.00, TecRate = 0.142
(61034) TC: TC-0 = 21.29, modeled = 14.52, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 3200, exptTempC = 0.00, TecRate = 0.149
(61186) TC: TC-0 = 21.29, modeled = 14.54, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 3350, exptTempC = 0.00, TecRate = 0.161
(61341) TC: TC-0 = 21.29, modeled = 14.57, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 3500, exptTempC = 0.00, TecRate = 0.165
(61486) TC: TC-0 = 21.30, modeled = 14.59, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 3650, exptTempC = 0.00, TecRate = 0.158
(61637) TC: TC-0 = 21.30, modeled = 14.62, target = 50.00, heatSink = -86.32, output = 100.0, timeout = 3800, exptTempC = 0.00, TecRate = 0.164
(61787) TC: TC-0 = 21.31, modeled = 14.64, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 3950, exptTempC = 0.00, TecRate = 0.157
(61937) TC: TC-0 = 21.31, modeled = 14.66, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 4100, exptTempC = 0.00, TecRate = 0.164
(62088) TC: TC-0 = 21.32, modeled = 14.69, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 4250, exptTempC = 0.00, TecRate = 0.156
(62244) TC: TC-0 = 21.33, modeled = 14.71, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 4400, exptTempC = 0.00, TecRate = 0.133
(62388) TC: TC-0 = 21.33, modeled = 14.74, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 4550, exptTempC = 0.00, TecRate = 0.166
(62539) TC: TC-0 = 21.34, modeled = 14.76, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 4700, exptTempC = 0.00, TecRate = 0.176
(62690) TC: TC-0 = 21.34, modeled = 14.78, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 4850, exptTempC = 0.00, TecRate = 0.158
(62839) TC: TC-0 = 21.35, modeled = 14.81, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 5000, exptTempC = 0.00, TecRate = 0.147
(62991) TC: TC-0 = 21.35, modeled = 14.83, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 5150, exptTempC = 0.00, TecRate = 0.127
(63146) TC: TC-0 = 21.35, modeled = 14.85, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 5300, exptTempC = 0.00, TecRate = 0.124
(63294) TC: TC-0 = 21.35, modeled = 14.87, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 5450, exptTempC = 0.00, TecRate = 0.137
(63444) TC: TC-0 = 21.35, modeled = 14.89, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 5600, exptTempC = 0.00, TecRate = 0.133
(63594) TC: TC-0 = 21.34, modeled = 14.91, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 5750, exptTempC = 0.00, TecRate = 0.133
(63743) TC: TC-0 = 21.34, modeled = 14.93, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 5900, exptTempC = 0.00, TecRate = 0.144
(63895) TC: TC-0 = 21.34, modeled = 14.95, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 6050, exptTempC = 0.00, TecRate = 0.134
(64050) TC: TC-0 = 21.34, modeled = 14.97, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 6200, exptTempC = 0.00, TecRate = 0.127
(64196) TC: TC-0 = 21.34, modeled = 14.99, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 6350, exptTempC = 0.00, TecRate = 0.137
(64346) TC: TC-0 = 21.35, modeled = 15.01, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 6500, exptTempC = 0.00, TecRate = 0.149
(64497) TC: TC-0 = 21.35, modeled = 15.03, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 6650, exptTempC = 0.00, TecRate = 0.141
(64648) TC: TC-0 = 21.35, modeled = 15.05, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 6800, exptTempC = 0.00, TecRate = 0.133
(64798) TC: TC-0 = 21.35, modeled = 15.07, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 6950, exptTempC = 0.00, TecRate = 0.140
(64954) TC: TC-0 = 21.36, modeled = 15.10, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 7100, exptTempC = 0.00, TecRate = 0.124
(65099) TC: TC-0 = 21.37, modeled = 15.12, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 7250, exptTempC = 0.00, TecRate = 0.147
(65249) TC: TC-0 = 21.37, modeled = 15.14, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 7400, exptTempC = 0.00, TecRate = 0.160
(65399) TC: TC-0 = 21.38, modeled = 15.17, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 7550, exptTempC = 0.00, TecRate = 0.151
(65548) TC: TC-0 = 21.39, modeled = 15.19, target = 50.00, heatSink = -87.27, output = 100.0, timeout = 7700, exptTempC = 0.00, TecRate = 0.176
(65700) TC: TC-0 = 21.40, modeled = 15.22, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 7850, exptTempC = 0.00, TecRate = 0.159
(65855) TC: TC-0 = 21.41, modeled = 15.24, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 8000, exptTempC = 0.00, TecRate = 0.172
(66001) TC: TC-0 = 21.41, modeled = 15.26, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 8150, exptTempC = 0.00, TecRate = 0.144
(66152) TC: TC-0 = 21.42, modeled = 15.28, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 8300, exptTempC = 0.00, TecRate = 0.132
(66302) TC: TC-0 = 21.43, modeled = 15.31, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 8450, exptTempC = 0.00, TecRate = 0.173
(66452) TC: TC-0 = 21.44, modeled = 15.33, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 8600, exptTempC = 0.00, TecRate = 0.139
(66602) TC: TC-0 = 21.44, modeled = 15.35, target = 50.00, heatSink = -86.92, output = 100.0, timeout = 8750, exptTempC = 0.00, TecRate = 0.122
(66756) TC: TC-0 = 21.44, modeled = 15.37, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 8900, exptTempC = 0.00, TecRate = 0.154
(66902) TC: TC-0 = 21.44, modeled = 15.39, target = 50.00, heatSink = -86.87, output = 100.0, timeout = 9050, exptTempC = 0.00, TecRate = 0.138
(67052) TC: TC-0 = 21.44, modeled = 15.41, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 9200, exptTempC = 0.00, TecRate = 0.145
(67203) TC: TC-0 = 21.45, modeled = 15.43, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 9350, exptTempC = 0.00, TecRate = 0.129
(67353) TC: TC-0 = 21.45, modeled = 15.45, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 9500, exptTempC = 0.00, TecRate = 0.127
(67503) TC: TC-0 = 21.45, modeled = 15.47, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 9650, exptTempC = 0.00, TecRate = 0.131
(67657) TC: TC-0 = 21.46, modeled = 15.49, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 9800, exptTempC = 0.00, TecRate = 0.147
(67803) TC: TC-0 = 21.46, modeled = 15.51, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 9950, exptTempC = 0.00, TecRate = 0.139
(67953) TC: TC-0 = 21.47, modeled = 15.53, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 10100, exptTempC = 0.00, TecRate = 0.147
(68103) TC: TC-0 = 21.47, modeled = 15.56, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 10250, exptTempC = 0.00, TecRate = 0.158
(68254) TC: TC-0 = 21.48, modeled = 15.58, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 10400, exptTempC = 0.00, TecRate = 0.148
(68404) TC: TC-0 = 21.49, modeled = 15.60, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 10550, exptTempC = 0.00, TecRate = 0.146
(68555) TC: TC-0 = 21.50, modeled = 15.62, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 10700, exptTempC = 0.00, TecRate = 0.181
(68711) TC: TC-0 = 21.51, modeled = 15.65, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 10850, exptTempC = 0.00, TecRate = 0.111
(68856) TC: TC-0 = 21.56, modeled = 15.69, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 11000, exptTempC = 0.00, TecRate = 0.304
(69006) TC: TC-0 = 21.62, modeled = 15.74, target = 50.00, heatSink = -86.44, output = 100.0, timeout = 11150, exptTempC = 0.00, TecRate = 0.362
(69155) TC: TC-0 = 21.70, modeled = 15.80, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 11300, exptTempC = 0.00, TecRate = 0.429
(69306) TC: TC-0 = 21.80, modeled = 15.87, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 11450, exptTempC = 0.00, TecRate = 0.481
(69455) TC: TC-0 = 21.93, modeled = 15.96, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 11600, exptTempC = 0.00, TecRate = 0.664
(69612) TC: TC-0 = 22.15, modeled = 16.09, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 11750, exptTempC = 0.00, TecRate = 0.112
(69757) TC: TC-0 = 23.01, modeled = 16.57, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 11900, exptTempC = 0.00, TecRate = 4.003
(69907) TC: TC-0 = 24.42, modeled = 17.35, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 12050, exptTempC = 0.00, TecRate = 5.606
(70057) TC: TC-0 = 26.06, modeled = 18.25, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 12200, exptTempC = 0.00, TecRate = 6.170
(70208) TC: TC-0 = 27.73, modeled = 19.18, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 12350, exptTempC = 0.00, TecRate = 6.167
(70358) TC: TC-0 = 29.40, modeled = 20.12, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 12500, exptTempC = 0.00, TecRate = 6.308
(70511) TC: TC-0 = 31.14, modeled = 21.11, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 12650, exptTempC = 0.00, TecRate = 6.797
(70665) TC: TC-0 = 32.40, modeled = 21.83, target = 50.00, heatSink = -86.67, output = 100.0, timeout = 12800, exptTempC = 0.00, TecRate = 7.291
(70810) TC: TC-0 = 34.48, modeled = 23.03, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 12950, exptTempC = 0.00, TecRate = 8.324
(70962) TC: TC-0 = 36.88, modeled = 24.41, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 13100, exptTempC = 0.00, TecRate = 9.665
(71112) TC: TC-0 = 39.34, modeled = 25.85, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 13250, exptTempC = 0.00, TecRate = 9.170
(71262) TC: TC-0 = 41.58, modeled = 27.17, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 13400, exptTempC = 0.00, TecRate = 8.801
(71413) TC: TC-0 = 43.72, modeled = 28.45, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 13550, exptTempC = 0.00, TecRate = 8.295
(71568) TC: TC-0 = 45.80, modeled = 29.72, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 13700, exptTempC = 0.00, TecRate = 8.446
(71714) TC: TC-0 = 47.17, modeled = 30.57, target = 50.00, heatSink = -86.92, output = 100.0, timeout = 13850, exptTempC = 0.00, TecRate = 8.349
(71865) TC: TC-0 = 49.25, modeled = 31.84, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 14000, exptTempC = 0.00, TecRate = 8.612
(72015) TC: TC-0 = 51.29, modeled = 33.11, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 14150, exptTempC = 0.00, TecRate = 8.372
(72165) TC: TC-0 = 53.25, modeled = 34.35, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 14300, exptTempC = 0.00, TecRate = 8.155
(72315) TC: TC-0 = 55.08, modeled = 35.51, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 14450, exptTempC = 0.00, TecRate = 7.604
(72468) TC: TC-0 = 56.79, modeled = 36.60, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 14600, exptTempC = 0.00, TecRate = 7.291
(72623) TC: TC-0 = 57.90, modeled = 37.34, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 14750, exptTempC = 0.00, TecRate = 7.231
(72768) TC: TC-0 = 59.61, modeled = 38.46, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 14900, exptTempC = 0.00, TecRate = 7.577
(72919) TC: TC-0 = 61.42, modeled = 39.65, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 15050, exptTempC = 0.00, TecRate = 7.796
(73069) TC: TC-0 = 63.17, modeled = 40.81, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 15200, exptTempC = 0.00, TecRate = 7.648
(73219) TC: TC-0 = 64.86, modeled = 41.93, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 15350, exptTempC = 0.00, TecRate = 7.273
(73369) TC: TC-0 = 66.43, modeled = 43.00, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 15500, exptTempC = 0.00, TecRate = 6.893
(73525) TC: TC-0 = 67.46, modeled = 43.72, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 15650, exptTempC = 0.00, TecRate = 0.388
(73670) TC: TC-0 = 68.94, modeled = 44.74, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 15800, exptTempC = 0.00, TecRate = 6.765
(73821) TC: TC-0 = 70.36, modeled = 45.72, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 15950, exptTempC = 0.00, TecRate = 6.354
(73971) TC: TC-0 = 71.68, modeled = 46.65, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 16100, exptTempC = 0.00, TecRate = 6.146
(74121) TC: TC-0 = 72.93, modeled = 47.26, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 16250, exptTempC = 0.00, TecRate = 0.419
