***Stage1 ON***
[64]TC TEC set to 50°C
(41873) _setStage1TecTempC: TEC Set Temp 50.000000
(41874) _resetThermalControlState: RESET Peltier 0 control state
(41878) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(41885) _setThermalControlState: thermalControl-0: changing state 3->1
(41892) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(41899) thermalControlSetEnable: Enabling Peltier 0
(42025) TC: TC-0 = 22.10, modeled = 8.78, target = 50.00, heatSink = -88.33, output = 100.0, timeout = 100, exptTempC = 0.00, TecRate = 0.304
(42176) TC: TC-0 = 22.10, modeled = 8.83, target = 50.00, heatSink = -88.14, output = 100.0, timeout = 250, exptTempC = 0.00, TecRate = 0.324
(42331) TC: TC-0 = 22.10, modeled = 8.88, target = 50.00, heatSink = -88.23, output = 100.0, timeout = 400, exptTempC = 0.00, TecRate = 0.308
(42477) TC: TC-0 = 22.10, modeled = 8.92, target = 50.00, heatSink = -88.80, output = 100.0, timeout = 550, exptTempC = 0.00, TecRate = 0.315
(42626) TC: TC-0 = 22.10, modeled = 8.97, target = 50.00, heatSink = -88.15, output = 100.0, timeout = 700, exptTempC = 0.00, TecRate = 0.313
(42776) TC: TC-0 = 22.10, modeled = 9.01, target = 50.00, heatSink = -88.57, output = 100.0, timeout = 850, exptTempC = 0.00, TecRate = 0.297
(42926) TC: TC-0 = 22.10, modeled = 9.06, target = 50.00, heatSink = -88.23, output = 100.0, timeout = 1000, exptTempC = 0.00, TecRate = 0.315
(43075) TC: TC-0 = 22.10, modeled = 9.10, target = 50.00, heatSink = -88.28, output = 100.0, timeout = 1150, exptTempC = 0.00, TecRate = 0.315
(43234) TC: TC-0 = 22.10, modeled = 9.15, target = 50.00, heatSink = -88.38, output = 100.0, timeout = 1300, exptTempC = 0.00, TecRate = 0.327
(43380) TC: TC-0 = 22.10, modeled = 9.20, target = 50.00, heatSink = -88.95, output = 100.0, timeout = 1450, exptTempC = 0.00, TecRate = 0.305
(43531) TC: TC-0 = 22.10, modeled = 9.24, target = 50.00, heatSink = -88.43, output = 100.0, timeout = 1600, exptTempC = 0.00, TecRate = 0.314
(43681) TC: TC-0 = 22.11, modeled = 9.29, target = 50.00, heatSink = -88.15, output = 100.0, timeout = 1750, exptTempC = 0.00, TecRate = 0.304
(43832) TC: TC-0 = 22.11, modeled = 9.34, target = 50.00, heatSink = -88.42, output = 100.0, timeout = 1900, exptTempC = 0.00, TecRate = 0.310
(43982) TC: TC-0 = 22.13, modeled = 9.38, target = 50.00, heatSink = -88.28, output = 100.0, timeout = 2050, exptTempC = 0.00, TecRate = 0.331
(44133) TC: TC-0 = 22.14, modeled = 9.43, target = 50.00, heatSink = -88.29, output = 100.0, timeout = 2200, exptTempC = 0.00, TecRate = 0.332
(44288) TC: TC-0 = 22.15, modeled = 9.48, target = 50.00, heatSink = -88.67, output = 100.0, timeout = 2350, exptTempC = 0.00, TecRate = 0.316
