***Stage1 ON***
[95]TC TEC set to 50°C
(49736) _setStage1TecTempC: TEC Set Temp 50.000000
(49737) _resetThermalControlState: RESET Peltier 0 control state
(49740) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(49747) _setThermalControlState: thermalControl-0: changing state 3->1
(49755) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(49762) thermalControlSetEnable: Enabling Peltier 0
(49825) TC: TC-0 = 23.50, modeled = 9.63, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 50, exptTempC = 0.00, TecRate = 0.324
(49978) TC: TC-0 = 23.50, modeled = 9.68, target = 50.00, heatSink = -87.27, output = 100.0, timeout = 200, exptTempC = 0.00, TecRate = 0.328
(50125) TC: TC-0 = 23.50, modeled = 9.72, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 350, exptTempC = 0.00, TecRate = 0.326
(50275) TC: TC-0 = 23.50, modeled = 9.77, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 500, exptTempC = 0.00, TecRate = 0.317
(50424) TC: TC-0 = 23.50, modeled = 9.82, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 650, exptTempC = 0.00, TecRate = 0.320
(50576) TC: TC-0 = 23.50, modeled = 9.86, target = 50.00, heatSink = -87.16, output = 100.0, timeout = 800, exptTempC = 0.00, TecRate = 0.304
(50726) TC: TC-0 = 23.50, modeled = 9.91, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 950, exptTempC = 0.00, TecRate = 0.323
(50878) TC: TC-0 = 23.51, modeled = 9.96, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 1100, exptTempC = 0.00, TecRate = 0.324
(51027) TC: TC-0 = 23.51, modeled = 10.01, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 1250, exptTempC = 0.00, TecRate = 0.294
(51177) TC: TC-0 = 23.51, modeled = 10.05, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 1400, exptTempC = 0.00, TecRate = 0.313
(51326) TC: TC-0 = 23.51, modeled = 10.10, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 1550, exptTempC = 0.00, TecRate = 0.307
(51477) TC: TC-0 = 23.51, modeled = 10.15, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 1700, exptTempC = 0.00, TecRate = 0.317
(51627) TC: TC-0 = 23.51, modeled = 10.19, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 1850, exptTempC = 0.00, TecRate = 0.287
(51784) TC: TC-0 = 23.51, modeled = 10.24, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 2000, exptTempC = 0.00, TecRate = 0.284
(51928) TC: TC-0 = 23.52, modeled = 10.28, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 2150, exptTempC = 0.00, TecRate = 0.303
(52079) TC: TC-0 = 23.51, modeled = 10.33, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 2300, exptTempC = 0.00, TecRate = 0.292
(52228) TC: TC-0 = 23.52, modeled = 10.37, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 2450, exptTempC = 0.00, TecRate = 0.314
(52379) TC: TC-0 = 23.53, modeled = 10.42, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 2600, exptTempC = 0.00, TecRate = 0.321
(52530) TC: TC-0 = 23.54, modeled = 10.47, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 2750, exptTempC = 0.00, TecRate = 0.323
(52686) TC: TC-0 = 23.55, modeled = 10.52, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 2900, exptTempC = 0.00, TecRate = 0.272
(52830) TC: TC-0 = 23.57, modeled = 10.57, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 3050, exptTempC = 0.00, TecRate = 0.335
(52980) TC: TC-0 = 23.58, modeled = 10.62, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 3200, exptTempC = 0.00, TecRate = 0.348
(53130) TC: TC-0 = 23.62, modeled = 10.67, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 3350, exptTempC = 0.00, TecRate = 0.368
(53281) TC: TC-0 = 23.64, modeled = 10.73, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 3500, exptTempC = 0.00, TecRate = 0.354
(53430) TC: TC-0 = 23.67, modeled = 10.78, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 3650, exptTempC = 0.00, TecRate = 0.353
(53586) TC: TC-0 = 23.70, modeled = 10.84, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 3800, exptTempC = 0.00, TecRate = 0.390
