id,type,inst,cq,fmax,pcr noise,melt noise,tm
1c979f89-b883-48c9-baaa-6f8bb0a9d1d4,AdvBuild,1,15,-1454,0.03,0.04, 
e55381a2-650a-4007-943b-7562e2c40cea,AdvBuild,1,12,-473,1.23,0.08,85
2c47b1b9-e10f-4dca-bb10-c9dd8d0e02b5,AdvBuild,1,14,-358,1.04,0.18,86
b7b5783e-e6b4-4fd6-8bd0-7d35a1c7d7e4,AdvBuild,1,20,-239,1.55,0.22,68
da6e7285-7a09-4fcc-9275-6d0fa95a3313,AdvBuild,1,28,-184,0.73,0.09,74
44f836fc-ac89-4a00-8abe-7862953167da,AdvBuild,1,19,-172,1.18,0.14,88
1dcbd91c-db64-4936-b595-4c9d84df0625,AdvBuild,1,13,-112,1.07,0.07,85
4ed7ba4f-9eed-4025-918d-02ef45000018,AdvBuild,1,16,-103,0.1,0.09,73
e2c8b113-7889-4d2d-8f50-73b6149afee9,AdvBuild,1,8,-78,0.91,0.12,75
ef64eede-e085-4bdd-9528-63faf79debad,AdvBuild,1,20,-74,0.77,0.05,70
ac52dad7-5726-4669-bfd5-eeb170396459,AdvBuild,1,27,-72,0.87,0.12, 
e33d35b6-8a46-40ae-a15b-0afddd4c0917,AdvBuild,1,10,-69,0.75,0.1,67
6a6a3fdd-58d1-483f-a854-e41713241b55,AdvBuild,1,19,-63,1.01,0.07,76
8718989b-c0bc-499d-8b27-eb9a5d1e2bc8,AdvBuild,1,11,-60,0.89,0.14, 
cdb3636f-3021-49ef-896c-0fecaed802e1,AdvBuild,1,27,-59,1.9,0.16,85
952a8e88-9fdc-4c12-b9d1-368f4ff42190,AdvBuild,1,8,-48,0.74,0.07, 
57340397-1909-420e-8c13-3c38027935ec,AdvBuild,1,20,-46,0.83,0.12, 
f4d0fee5-abf4-4563-8e36-994a48c7e8b2,AdvBuild,1,12,-44,0.46,0.1, 
98681f34-18fa-4a99-a1bb-82524bdc7336,AdvBuild,1,17,-39,1.82,0.09,72
443fecb6-307a-4fa0-a19e-8406ce04179e,AdvBuild,1,18,-38,1.27,0.1,60
43d4c627-1889-48a3-a668-821bbfc513b2,AdvBuild,1,17,-35,0.71,0.09, 
1d20da5c-7918-431c-ab0e-0658264d1751,AdvBuild,1,12,15,2.04,0.3,68
bb7d0d76-9cfa-4ab4-a1aa-6db41dbda01b,AdvBuild,1,30,162,0.14,0.04,76
cb6ee7eb-e7a9-4720-a963-775621e096e0,AdvBuild,1,17,363,0.76,0.53,64
db8198fc-4ada-4dc4-9723-1e835e7660d6,AdvBuild,1,29,382,0.16,0.09,75
30c31f11-7a5e-4aa9-b955-25f268b7b696,AdvBuild,1,24,544,0.15,0.05,76
6248fef8-de45-4e50-84f9-560957992096,AdvBuild,1,27,683,0.06,0.02,76
f68bed24-b111-4861-9bc6-777db0e85f25,AdvBuild,1,24,699,0.08,0.08,75
db9d1e0a-99d5-4f0e-985d-24bcc41a7166,AdvBuild,1,31,763,0.06,0.05,75
4c7869db-28c6-47cd-ad29-781942f927a7,AdvBuild,1,30,792,0.23,0.05,76
e4df9202-0af9-4fb8-8fa5-23c885ef01e0,AdvBuild,1,24,797,0.04,0.05,76
4569138c-c5d3-4007-a3a3-96efd869621c,AdvBuild,1,24,799,0.05,0.03,76
4a13304e-0eae-47ef-8fdc-542f39566c93,AdvBuild,1,25,815,0.05,0.04,76
ddf14a8e-8d8e-46ea-90a4-5900159e8e1b,AdvBuild,1,24,829,0.1,0.03,75
9257768d-1719-4ee8-bbf5-db0955c65fa0,AdvBuild,1,24,859,0.11,0.05,76
f5bc2ed1-3896-49b8-b77c-a5f2991fabc4,AdvBuild,1,24,877,0.08,0.05,76
7a1a31f6-03fd-468e-bb69-3d9c9f6e8893,AdvBuild,1,24,879,0.04,0.03,76
0907cd00-785f-4486-9bdd-97842611e983,AdvBuild,1,25,902,0.05,0.02,76
c8d7c1c5-f04f-4e1a-818a-8f9bc6eba48f,AdvBuild,1,25,948,0.05,0.04,75
415dadbb-375d-4f46-800c-2db047d553af,AdvBuild,1,25,962,0.09,0.06,75
2facc303-4535-4b38-911f-8251bb4bdd19,AdvBuild,1,25,989,0.09,0.03,76
ab6242df-f635-452e-9c31-f1b38bd17488,AdvBuild,1,27,1123,0.04,0.02,76
aa47d28a-8d73-4028-b1f2-7aa44cb81651,AdvBuild,1,26,1161,0.08,0.02,76
15aeda77-080b-4e75-9d5d-ff7fdd5f0c79,AdvBuild,1,27,1177,0.16,0.03,76
a6ad0d1e-61d7-43af-ae47-6c9f411e1793,AdvBuild,1,24,1201,0.22,0.4,76
a7e224f7-9833-459b-956c-575cd491c4e7,AdvBuild,1,26,1267,0.04,0.03,76
6b9991e1-739f-40e5-b911-042754541109,AdvBuild,1,24,1277,0.08,0.07,75
209c79fe-64fb-4628-a9eb-71a3f994cd03,AdvBuild,1,24,1297,0.1,0.07,75
473ece11-4861-4102-9a3c-0925e574d701,AdvBuild,1,26,1317,0.11,0.06,75
a288f148-9155-4e14-98ed-4db989bca9d9,AdvBuild,1,25,1326,0.05,0.22,76
9efb269d-e07d-44eb-80ee-7aecec47d231,AdvBuild,1,25,1332,0.07,0.03,76
967ccb2f-d139-48e8-af4c-d1acedd85d49,AdvBuild,1,26,1343,0.05,0.02,76
d58debc5-c23c-4cd8-a2fe-e24990127ed1,AdvBuild,1,25,1419,0.05,0.06,76
2fa46764-3c63-44ee-96a4-f4c908832576,AdvBuild,1,25,1504,0.14,0.04,76
d1abbe58-7dba-4dfb-8b45-3dedd75799f6,AdvBuild,1,25,1546,0.08,0.06,76
