***Stage1 ON***
[40]TC TEC set to 50°C
(98601) _setStage1TecTempC: TEC Set Temp 50.000000
(98602) _resetThermalControlState: RESET Peltier 0 control state
(98605) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(98612) _setThermalControlState: thermalControl-0: changing state 3->1
(98620) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(98627) thermalControlSetEnable: Enabling Peltier 0
(98680) TC: TC-0 = 24.20, modeled = 18.27, target = 50.00, heatSink = -87.93, output = 100.0, timeout = 50, exptTempC = 0.00, TecRate = 0.084
(98725) systemTasksMonitorStack: Stack Watermark(Thermal Control): 2128
(98831) TC: TC-0 = 24.22, modeled = 18.30, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 200, exptTempC = 0.00, TecRate = 0.197
(98981) TC: TC-0 = 24.24, modeled = 18.33, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 350, exptTempC = 0.00, TecRate = 0.182
(99133) TC: TC-0 = 24.25, modeled = 18.36, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 500, exptTempC = 0.00, TecRate = 0.176
(99283) TC: TC-0 = 24.27, modeled = 18.38, target = 50.00, heatSink = -87.75, output = 100.0, timeout = 650, exptTempC = 0.00, TecRate = 0.188
(99434) TC: TC-0 = 24.29, modeled = 18.41, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 800, exptTempC = 0.00, TecRate = 0.193
(99589) TC: TC-0 = 24.31, modeled = 18.44, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 950, exptTempC = 0.00, TecRate = 0.190
(99734) TC: TC-0 = 24.33, modeled = 18.47, target = 50.00, heatSink = -87.59, output = 100.0, timeout = 1100, exptTempC = 0.00, TecRate = 0.210
(99884) TC: TC-0 = 24.35, modeled = 18.50, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 1250, exptTempC = 0.00, TecRate = 0.187
(100034) TC: TC-0 = 24.36, modeled = 18.52, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 1400, exptTempC = 0.00, TecRate = 0.200
(100184) TC: TC-0 = 24.38, modeled = 18.55, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 1550, exptTempC = 0.00, TecRate = 0.212
(100338) TC: TC-0 = 24.40, modeled = 18.58, target = 50.00, heatSink = -88.05, output = 100.0, timeout = 1700, exptTempC = 0.00, TecRate = 0.191
(100485) TC: TC-0 = 24.41, modeled = 18.60, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 1850, exptTempC = 0.00, TecRate = 0.174
(100636) TC: TC-0 = 24.43, modeled = 18.63, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 2000, exptTempC = 0.00, TecRate = 0.164
(100785) TC: TC-0 = 24.45, modeled = 18.65, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 2150, exptTempC = 0.00, TecRate = 0.204
(100937) TC: TC-0 = 24.47, modeled = 18.68, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 2300, exptTempC = 0.00, TecRate = 0.165
(101087) TC: TC-0 = 24.48, modeled = 18.71, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 2450, exptTempC = 0.00, TecRate = 0.188
(101238) TC: TC-0 = 24.50, modeled = 18.74, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 2600, exptTempC = 0.00, TecRate = 0.202
(101388) TC: TC-0 = 24.52, modeled = 18.76, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 2750, exptTempC = 0.00, TecRate = 0.223
(101538) TC: TC-0 = 24.55, modeled = 18.80, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 2900, exptTempC = 0.00, TecRate = 0.262
(101688) TC: TC-0 = 24.58, modeled = 18.84, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 3050, exptTempC = 0.00, TecRate = 0.226
(101838) TC: TC-0 = 24.61, modeled = 18.87, target = 50.00, heatSink = -87.75, output = 100.0, timeout = 3200, exptTempC = 0.00, TecRate = 0.184
(101988) TC: TC-0 = 24.63, modeled = 18.90, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 3350, exptTempC = 0.00, TecRate = 0.185
(102144) TC: TC-0 = 24.65, modeled = 18.92, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 3500, exptTempC = 0.00, TecRate = 0.095
(102289) TC: TC-0 = 24.66, modeled = 18.95, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 3650, exptTempC = 0.00, TecRate = 0.161
(102439) TC: TC-0 = 24.68, modeled = 18.97, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 3800, exptTempC = 0.00, TecRate = 0.161
(102589) TC: TC-0 = 24.69, modeled = 19.00, target = 50.00, heatSink = -87.54, output = 100.0, timeout = 3950, exptTempC = 0.00, TecRate = 0.143
(102739) TC: TC-0 = 24.70, modeled = 19.02, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 4100, exptTempC = 0.00, TecRate = 0.130
(102890) TC: TC-0 = 24.71, modeled = 19.04, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 4250, exptTempC = 0.00, TecRate = 0.135
(103046) TC: TC-0 = 24.72, modeled = 19.06, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 4400, exptTempC = 0.00, TecRate = 0.155
(103192) TC: TC-0 = 24.73, modeled = 19.08, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 4550, exptTempC = 0.00, TecRate = 0.212
(103342) TC: TC-0 = 24.78, modeled = 19.12, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 4700, exptTempC = 0.00, TecRate = 0.350
(103491) TC: TC-0 = 24.85, modeled = 19.19, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 4850, exptTempC = 0.00, TecRate = 0.512
(103642) TC: TC-0 = 24.97, modeled = 19.28, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 5000, exptTempC = 0.00, TecRate = 0.621
(103793) TC: TC-0 = 25.08, modeled = 19.37, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 5150, exptTempC = 0.00, TecRate = 0.570
