(1379050) heapMonitor_checkFreeHeapSize: New heap low water mark 114888
***Stage1 ON***
[9]TC TEC set to 50°C
(1381322) _setStage1TecTempC: TEC Set Temp 50.000000
(1381323) _resetThermalControlState: RESET Peltier 0 control state
(1381327) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1381334) _setThermalControlState: thermalControl-0: changing state 3->1
(1381341) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1381349) thermalControlSetEnable: Enabling Peltier 0
(1381361) TC: TC-0 = 25.14, modeled = 11.84, target = 50.00, heatSink = -86.86, output = 50.0, timeout = 0, exptTempC = 0.00, TecRate = 0.474
(1381487) TC: TC-0 = 25.16, modeled = 11.89, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 150, exptTempC = 0.00, TecRate = 0.320
(1381643) TC: TC-0 = 25.18, modeled = 11.94, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 300, exptTempC = 0.00, TecRate = 0.351
(1381789) TC: TC-0 = 25.20, modeled = 11.98, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 450, exptTempC = 0.00, TecRate = 0.328
(1381938) TC: TC-0 = 25.22, modeled = 12.03, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 600, exptTempC = 0.00, TecRate = 0.337
(1382089) TC: TC-0 = 25.24, modeled = 12.08, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 750, exptTempC = 0.00, TecRate = 0.330
(1382239) TC: TC-0 = 25.26, modeled = 12.13, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 900, exptTempC = 0.00, TecRate = 0.322
(1382390) TC: TC-0 = 25.28, modeled = 12.18, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 1050, exptTempC = 0.00, TecRate = 0.334
(1382547) TC: TC-0 = 25.30, modeled = 12.23, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 1200, exptTempC = 0.00, TecRate = 0.357
(1382693) TC: TC-0 = 25.32, modeled = 12.28, target = 50.00, heatSink = -87.27, output = 100.0, timeout = 1350, exptTempC = 0.00, TecRate = 0.335
(1382843) TC: TC-0 = 25.34, modeled = 12.33, target = 50.00, heatSink = -86.56, output = 100.0, timeout = 1500, exptTempC = 0.00, TecRate = 0.327
(1382993) TC: TC-0 = 25.36, modeled = 12.38, target = 50.00, heatSink = -86.67, output = 100.0, timeout = 1650, exptTempC = 0.00, TecRate = 0.336
(1383145) TC: TC-0 = 25.39, modeled = 12.43, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 1800, exptTempC = 0.00, TecRate = 0.336
(1383294) TC: TC-0 = 25.41, modeled = 12.48, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 1950, exptTempC = 0.00, TecRate = 0.331
(1383447) TC: TC-0 = 25.43, modeled = 12.53, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 2100, exptTempC = 0.00, TecRate = 0.322
(1383601) TC: TC-0 = 25.44, modeled = 12.57, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 2250, exptTempC = 0.00, TecRate = 0.309
(1383745) TC: TC-0 = 25.46, modeled = 12.62, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 2400, exptTempC = 0.00, TecRate = 0.319
(1383897) TC: TC-0 = 25.50, modeled = 12.68, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 2550, exptTempC = 0.00, TecRate = 0.434
(1384047) TC: TC-0 = 25.81, modeled = 12.81, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 2700, exptTempC = 0.00, TecRate = 1.271
(1384197) TC: TC-0 = 26.71, modeled = 13.14, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 2850, exptTempC = 0.00, TecRate = 2.609
(1384348) TC: TC-0 = 28.18, modeled = 13.65, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 3000, exptTempC = 0.00, TecRate = 3.756
(1384503) TC: TC-0 = 29.41, modeled = 14.09, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 3150, exptTempC = 0.00, TecRate = 4.367
(1384648) TC: TC-0 = 31.52, modeled = 14.82, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 3300, exptTempC = 0.00, TecRate = 5.102
(1384798) TC: TC-0 = 33.85, modeled = 15.63, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 3450, exptTempC = 0.00, TecRate = 5.581
(1384949) TC: TC-0 = 36.26, modeled = 16.49, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 3600, exptTempC = 0.00, TecRate = 5.775
(1385099) TC: TC-0 = 38.70, modeled = 17.37, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 3750, exptTempC = 0.00, TecRate = 5.901
(1385250) TC: TC-0 = 41.12, modeled = 18.26, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 3900, exptTempC = 0.00, TecRate = 5.962
(1385405) TC: TC-0 = 42.71, modeled = 18.88, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 4050, exptTempC = 0.00, TecRate = 5.956
(1385550) TC: TC-0 = 45.07, modeled = 19.78, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 4200, exptTempC = 0.00, TecRate = 5.983
(1385700) TC: TC-0 = 47.35, modeled = 20.66, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 4350, exptTempC = 0.00, TecRate = 5.881
(1385851) TC: TC-0 = 49.53, modeled = 21.53, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 4500, exptTempC = 0.00, TecRate = 5.677
(1386001) TC: TC-0 = 51.58, modeled = 22.35, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 4650, exptTempC = 0.00, TecRate = 5.425
(1386152) TC: TC-0 = 53.53, modeled = 23.16, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 4800, exptTempC = 0.00, TecRate = 5.452
(1386307) TC: TC-0 = 54.82, modeled = 23.73, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 4950, exptTempC = 0.00, TecRate = 5.330
(1386452) TC: TC-0 = 56.72, modeled = 24.54, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 5100, exptTempC = 0.00, TecRate = 5.449
(1386602) TC: TC-0 = 58.69, modeled = 25.39, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 5250, exptTempC = 0.00, TecRate = 5.736
(1386753) TC: TC-0 = 60.62, modeled = 26.23, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 5400, exptTempC = 0.00, TecRate = 5.603
(1386903) TC: TC-0 = 62.45, modeled = 27.04, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 5550, exptTempC = 0.00, TecRate = 5.347
(1387054) TC: TC-0 = 64.22, modeled = 27.85, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 5700, exptTempC = 0.00, TecRate = 5.427
(1387209) TC: TC-0 = 65.39, modeled = 28.42, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 5850, exptTempC = 0.00, TecRate = 5.322
(1387354) TC: TC-0 = 67.07, modeled = 29.20, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 6000, exptTempC = 0.00, TecRate = 5.162
(1387504) TC: TC-0 = 68.66, modeled = 29.96, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 6150, exptTempC = 0.00, TecRate = 5.013
(1387655) TC: TC-0 = 70.17, modeled = 30.70, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 6300, exptTempC = 0.00, TecRate = 4.828
