(68190) heapMonitor_checkFreeHeapSize: New heap low water mark 114484
***Stage1 ON***
[58]TC TEC set to 50°C
(68784) _setStage1TecTempC: TEC Set Temp 50.000000
(68785) _resetThermalControlState: RESET Peltier 0 control state
(68788) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(68795) _setThermalControlState: thermalControl-0: changing state 3->1
(68803) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(68810) thermalControlSetEnable: Enabling Peltier 0
(68885) TC: TC-0 = 23.07, modeled = 16.63, target = 50.00, heatSink = -87.72, output = 100.0, timeout = 50, exptTempC = 0.00, TecRate = 0.233
(69031) TC: TC-0 = 23.09, modeled = 16.65, target = 50.00, heatSink = -88.21, output = 100.0, timeout = 200, exptTempC = 0.00, TecRate = 0.206
(69075) systemTasksMonitorStack: Stack Watermark(Thermal Control): 2128
(69181) TC: TC-0 = 23.11, modeled = 16.69, target = 50.00, heatSink = -88.11, output = 100.0, timeout = 350, exptTempC = 0.00, TecRate = 0.215
(69332) TC: TC-0 = 23.13, modeled = 16.72, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 500, exptTempC = 0.00, TecRate = 0.234
(69482) TC: TC-0 = 23.16, modeled = 16.75, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 650, exptTempC = 0.00, TecRate = 0.215
(69632) TC: TC-0 = 23.18, modeled = 16.78, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 800, exptTempC = 0.00, TecRate = 0.215
(69783) TC: TC-0 = 23.20, modeled = 16.82, target = 50.00, heatSink = -87.93, output = 100.0, timeout = 950, exptTempC = 0.00, TecRate = 0.205
(69939) TC: TC-0 = 23.21, modeled = 16.84, target = 50.00, heatSink = -88.42, output = 100.0, timeout = 1100, exptTempC = 0.00, TecRate = 0.115
(70084) TC: TC-0 = 23.24, modeled = 16.88, target = 50.00, heatSink = -88.46, output = 100.0, timeout = 1250, exptTempC = 0.00, TecRate = 0.223
(70234) TC: TC-0 = 23.26, modeled = 16.91, target = 50.00, heatSink = -87.85, output = 100.0, timeout = 1400, exptTempC = 0.00, TecRate = 0.218
(70385) TC: TC-0 = 23.28, modeled = 16.94, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 1550, exptTempC = 0.00, TecRate = 0.206
(70536) TC: TC-0 = 23.30, modeled = 16.97, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 1700, exptTempC = 0.00, TecRate = 0.232
(70687) TC: TC-0 = 23.32, modeled = 17.00, target = 50.00, heatSink = -88.11, output = 100.0, timeout = 1850, exptTempC = 0.00, TecRate = 0.213
(70838) TC: TC-0 = 23.34, modeled = 17.03, target = 50.00, heatSink = -88.20, output = 100.0, timeout = 2000, exptTempC = 0.00, TecRate = 0.218
(70993) TC: TC-0 = 23.36, modeled = 17.06, target = 50.00, heatSink = -88.46, output = 100.0, timeout = 2150, exptTempC = 0.00, TecRate = 0.222
(71137) TC: TC-0 = 23.38, modeled = 17.09, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 2300, exptTempC = 0.00, TecRate = 0.234
(71288) TC: TC-0 = 23.41, modeled = 17.13, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 2450, exptTempC = 0.00, TecRate = 0.236
(71439) TC: TC-0 = 23.44, modeled = 17.17, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 2600, exptTempC = 0.00, TecRate = 0.264
(71588) TC: TC-0 = 23.48, modeled = 17.21, target = 50.00, heatSink = -87.67, output = 100.0, timeout = 2750, exptTempC = 0.00, TecRate = 0.264
(71739) TC: TC-0 = 23.53, modeled = 17.26, target = 50.00, heatSink = -88.42, output = 100.0, timeout = 2900, exptTempC = 0.00, TecRate = 0.345
(71896) TC: TC-0 = 23.57, modeled = 17.30, target = 50.00, heatSink = -88.11, output = 100.0, timeout = 3050, exptTempC = 0.00, TecRate = 0.111
(72041) TC: TC-0 = 23.62, modeled = 17.35, target = 50.00, heatSink = -88.14, output = 100.0, timeout = 3200, exptTempC = 0.00, TecRate = 0.336
(72191) TC: TC-0 = 23.67, modeled = 17.40, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 3350, exptTempC = 0.00, TecRate = 0.307
(72341) TC: TC-0 = 23.72, modeled = 17.44, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 3500, exptTempC = 0.00, TecRate = 0.279
(72491) TC: TC-0 = 23.78, modeled = 17.50, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 3650, exptTempC = 0.00, TecRate = 0.481
(72641) TC: TC-0 = 23.95, modeled = 17.62, target = 50.00, heatSink = -88.24, output = 100.0, timeout = 3800, exptTempC = 0.00, TecRate = 0.966
(72794) TC: TC-0 = 24.29, modeled = 17.86, target = 50.00, heatSink = -88.15, output = 100.0, timeout = 3950, exptTempC = 0.00, TecRate = 1.940
(72943) TC: TC-0 = 24.73, modeled = 18.15, target = 50.00, heatSink = -88.10, output = 100.0, timeout = 4100, exptTempC = 0.00, TecRate = 3.181
(73093) TC: TC-0 = 25.75, modeled = 18.80, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 4250, exptTempC = 0.00, TecRate = 4.709
(73244) TC: TC-0 = 26.91, modeled = 19.55, target = 50.00, heatSink = -87.29, output = 100.0, timeout = 4400, exptTempC = 0.00, TecRate = 5.084
(73395) TC: TC-0 = 28.17, modeled = 20.37, target = 50.00, heatSink = -88.05, output = 100.0, timeout = 4550, exptTempC = 0.00, TecRate = 5.587
(73545) TC: TC-0 = 29.56, modeled = 21.27, target = 50.00, heatSink = -88.06, output = 100.0, timeout = 4700, exptTempC = 0.00, TecRate = 6.252
(73697) TC: TC-0 = 31.08, modeled = 22.26, target = 50.00, heatSink = -88.32, output = 100.0, timeout = 4850, exptTempC = 0.00, TecRate = 6.797
(73846) TC: TC-0 = 32.14, modeled = 22.97, target = 50.00, heatSink = -88.14, output = 100.0, timeout = 5000, exptTempC = 0.00, TecRate = 7.027
(73997) TC: TC-0 = 33.85, modeled = 24.09, target = 50.00, heatSink = -87.75, output = 100.0, timeout = 5150, exptTempC = 0.00, TecRate = 7.669
(74147) TC: TC-0 = 35.49, modeled = 25.19, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 5300, exptTempC = 0.00, TecRate = 7.191
(74297) TC: TC-0 = 37.12, modeled = 26.28, target = 50.00, heatSink = -88.19, output = 100.0, timeout = 5450, exptTempC = 0.00, TecRate = 7.418
(74447) TC: TC-0 = 38.70, modeled = 27.34, target = 50.00, heatSink = -88.19, output = 100.0, timeout = 5600, exptTempC = 0.00, TecRate = 6.819
(74602) TC: TC-0 = 39.70, modeled = 28.03, target = 50.00, heatSink = -88.19, output = 100.0, timeout = 5750, exptTempC = 0.00, TecRate = 0.174
(74747) TC: TC-0 = 41.22, modeled = 29.07, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 5900, exptTempC = 0.00, TecRate = 6.910
(74897) TC: TC-0 = 42.73, modeled = 30.11, target = 50.00, heatSink = -87.41, output = 100.0, timeout = 6050, exptTempC = 0.00, TecRate = 6.914
(75047) TC: TC-0 = 44.22, modeled = 31.14, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 6200, exptTempC = 0.00, TecRate = 6.865
(75198) TC: TC-0 = 45.70, modeled = 32.17, target = 50.00, heatSink = -88.33, output = 100.0, timeout = 6350, exptTempC = 0.00, TecRate = 6.864
(75348) TC: TC-0 = 47.14, modeled = 33.19, target = 50.00, heatSink = -88.33, output = 100.0, timeout = 6500, exptTempC = 0.00, TecRate = 6.730
(75501) TC: TC-0 = 48.57, modeled = 34.20, target = 50.00, heatSink = -88.28, output = 100.0, timeout = 6650, exptTempC = 0.00, TecRate = 6.756
(75648) TC: TC-0 = 49.53, modeled = 34.90, target = 50.00, heatSink = -88.06, output = 100.0, timeout = 6800, exptTempC = 0.00, TecRate = 6.933
