***Stage1 ON***
[7]TC TEC set to 50°C
(186767) _setStage1TecTempC: TEC Set Temp 50.000000
(186768) _resetThermalControlState: RESET Peltier 0 control state
(186772) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(186779) _setThermalControlState: thermalControl-0: changing state 3->1
(186786) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(186794) thermalControlSetEnable: Enabling Peltier 0
(186814) TC: TC-0 = 20.39, modeled = 19.21, target = 50.00, heatSink = -86.40, output = 50.0, timeout = 0, exptTempC = 0.00, TecRate = 0.063
(186964) TC: TC-0 = 20.39, modeled = 19.22, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 150, exptTempC = 0.00, TecRate = -0.004
(187114) TC: TC-0 = 20.40, modeled = 19.22, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 300, exptTempC = 0.00, TecRate = 0.009
(187264) TC: TC-0 = 20.39, modeled = 19.22, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 450, exptTempC = 0.00, TecRate = -0.016
(187415) TC: TC-0 = 20.39, modeled = 19.22, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 600, exptTempC = 0.00, TecRate = -0.004
(187570) TC: TC-0 = 20.39, modeled = 19.22, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 750, exptTempC = 0.00, TecRate = -0.014
(187715) TC: TC-0 = 20.38, modeled = 19.22, target = 50.00, heatSink = -86.13, output = 100.0, timeout = 900, exptTempC = 0.00, TecRate = 0.002
(187866) TC: TC-0 = 20.38, modeled = 19.21, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 1050, exptTempC = 0.00, TecRate = -0.001
(188016) TC: TC-0 = 20.37, modeled = 19.21, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 1200, exptTempC = 0.00, TecRate = 0.002
(188166) TC: TC-0 = 20.37, modeled = 19.21, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 1350, exptTempC = 0.00, TecRate = -0.001
(188316) TC: TC-0 = 20.37, modeled = 19.22, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 1500, exptTempC = 0.00, TecRate = 0.014
(188472) TC: TC-0 = 20.38, modeled = 19.22, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 1650, exptTempC = 0.00, TecRate = 0.005
(188616) TC: TC-0 = 20.41, modeled = 19.23, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 1800, exptTempC = 0.00, TecRate = 0.101
(188767) TC: TC-0 = 20.44, modeled = 19.24, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 1950, exptTempC = 0.00, TecRate = 0.092
(188916) TC: TC-0 = 20.47, modeled = 19.26, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 2100, exptTempC = 0.00, TecRate = 0.086
(189066) TC: TC-0 = 20.50, modeled = 19.27, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 2250, exptTempC = 0.00, TecRate = 0.084
(189218) TC: TC-0 = 20.54, modeled = 19.29, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 2400, exptTempC = 0.00, TecRate = 0.123
(189374) TC: TC-0 = 20.60, modeled = 19.32, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 2550, exptTempC = 0.00, TecRate = 0.248
(189519) TC: TC-0 = 20.67, modeled = 19.35, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 2700, exptTempC = 0.00, TecRate = 0.305
(189670) TC: TC-0 = 21.09, modeled = 19.53, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 2850, exptTempC = 0.00, TecRate = 2.006
(189820) TC: TC-0 = 22.63, modeled = 20.19, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 3000, exptTempC = 0.00, TecRate = 5.660
(189971) TC: TC-0 = 25.29, modeled = 21.35, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 3150, exptTempC = 0.00, TecRate = 8.608
(190121) TC: TC-0 = 28.61, modeled = 22.82, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 3300, exptTempC = 0.00, TecRate = 10.272
(190273) TC: TC-0 = 32.27, modeled = 24.47, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 3450, exptTempC = 0.00, TecRate = 11.141
(190427) TC: TC-0 = 34.80, modeled = 25.64, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 3600, exptTempC = 0.00, TecRate = 11.611
(190572) TC: TC-0 = 38.45, modeled = 27.33, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 3750, exptTempC = 0.00, TecRate = 11.293
(190723) TC: TC-0 = 42.01, modeled = 29.02, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 3900, exptTempC = 0.00, TecRate = 11.185
(190873) TC: TC-0 = 45.39, modeled = 30.66, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 4050, exptTempC = 0.00, TecRate = 10.701
(191023) TC: TC-0 = 48.73, modeled = 32.30, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 4200, exptTempC = 0.00, TecRate = 11.034
(191174) TC: TC-0 = 52.03, modeled = 33.94, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 4350, exptTempC = 0.00, TecRate = 10.852
(191214) heapMonitor_checkFreeHeapSize: New heap low water mark 114484
(191332) TC: TC-0 = 55.18, modeled = 35.54, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4500, exptTempC = 0.00, TecRate = 10.576
(191478) TC: TC-0 = 57.23, modeled = 36.61, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 4650, exptTempC = 0.00, TecRate = 10.640
(191629) TC: TC-0 = 60.23, modeled = 38.17, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 4800, exptTempC = 0.00, TecRate = 10.271
(191779) TC: TC-0 = 62.93, modeled = 39.61, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 4950, exptTempC = 0.00, TecRate = 9.373
(191929) TC: TC-0 = 65.52, modeled = 41.01, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 5100, exptTempC = 0.00, TecRate = 9.288
(192080) TC: TC-0 = 67.93, modeled = 42.33, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 5250, exptTempC = 0.00, TecRate = 8.312
(192236) TC: TC-0 = 69.43, modeled = 43.19, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 5400, exptTempC = 0.00, TecRate = 0.435
(192381) TC: TC-0 = 71.52, modeled = 44.36, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 5550, exptTempC = 0.00, TecRate = 7.660
(192530) TC: TC-0 = 73.50, modeled = 45.50, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 5700, exptTempC = 0.00, TecRate = 7.559
(192681) TC: TC-0 = 75.38, modeled = 46.58, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 5850, exptTempC = 0.00, TecRate = 7.106
(192830) TC: TC-0 = 77.12, modeled = 46.98, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 6000, exptTempC = 0.00, TecRate = 0.520
(192980) TC: TC-0 = 78.75, modeled = 47.06, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 6150, exptTempC = 0.00, TecRate = 0.555
(193135) TC: TC-0 = 80.28, modeled = 47.15, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 6300, exptTempC = 0.00, TecRate = 0.588
(193281) TC: TC-0 = 81.25, modeled = 47.24, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 6450, exptTempC = 0.00, TecRate = 0.608
(193430) TC: TC-0 = 82.60, modeled = 47.33, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 6600, exptTempC = 0.00, TecRate = 0.637
(193581) TC: TC-0 = 83.84, modeled = 47.43, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 6750, exptTempC = 0.00, TecRate = 0.664
(193732) TC: TC-0 = 84.99, modeled = 47.53, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 6900, exptTempC = 0.00, TecRate = 0.688
(193882) TC: TC-0 = 86.07, modeled = 47.64, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 7050, exptTempC = 0.00, TecRate = 0.710
(194034) TC: TC-0 = 86.99, modeled = 47.75, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 7200, exptTempC = 0.00, TecRate = 0.729
(194189) TC: TC-0 = 87.57, modeled = 47.86, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 7350, exptTempC = 0.00, TecRate = 0.740
(194333) TC: TC-0 = 88.42, modeled = 47.97, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 7500, exptTempC = 0.00, TecRate = 0.757
(194485) TC: TC-0 = 89.18, modeled = 48.09, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 7650, exptTempC = 0.00, TecRate = 0.772
