***PCR ON***
[45]PCR TEC set to 50°C
(1401407) _setPcrTecTempC: TEC Set Temp 50.000000
(1401408) _applyThermalBrakeUpdate: Worst Temp: 96.961258
(1401411) _updateInertiaCompensation: overshoot: 46.961258, updatedComp: 46.961258, atIndex: 4 atTemp: 50.0
(1401422) _resetThermalControlState: RESET Peltier 1 control state
(1401428) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(1401436) _setThermalControlState: thermalControl-1: changing state 3->1
(1401443) tecCurvePredictorSetHoldPower: hold power: -136783.593750 filtered: -116678.335938 temp: 19.696383
(1401454) thermalControlSetEnable: Enabling Peltier 1
(1401460) taskMonitor_task: Task Thermal Control Task hasn't checked in for 100 ms
(1401471) _findInertiaCompensation: Inertia Compensation is too large: 46.961258
(1401477) _findInertiaCompensation: Resetting IC to 0...
(1401482) stashException: Exception Stashed (0x0B1E1)
(1401502) thermalControlTask: thermal control sleep.
(1401506) printException: ************
(1401506) printException: Error Code:  (0x0000B1E1)
(1401507) printException: Originator:   (0x0B)  System
(1401513) printException: Error Type:  (0x1E)  Inertia Compenstaion Reset
(1401521) printException: Priority:       (0x01)  Log Only
(1401527) printException: Time Since Boot:       (1400814) ms
(1401534) printException: Time Since Expt:       (0) ms
(1401540) handleException: ************

(1401545) systemRequestStateChange: System State Transition ERROR -> WARNING
(1401553) blePeriphNotifySubscription: ENTER NOTIFY
(1401559) systemRequestStateChange: Notify exit state change
(1401573) TC: TC-1 = 24.51, modeled = 19.78, target = 50.00, heatSink = -89.64, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.539
(1401721) TC: TC-1 = 24.51, modeled = 19.86, target = 50.00, heatSink = -89.83, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.531
(1401875) TC: TC-1 = 24.51, modeled = 19.94, target = 50.00, heatSink = -90.23, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.521
(1402031) TC: TC-1 = 24.51, modeled = 20.01, target = 50.00, heatSink = -90.18, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.512
(1402174) TC: TC-1 = 24.51, modeled = 20.09, target = 50.00, heatSink = -90.12, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.504
(1402325) TC: TC-1 = 24.51, modeled = 20.16, target = 50.00, heatSink = -89.49, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.493
(1402475) TC: TC-1 = 24.51, modeled = 20.24, target = 50.00, heatSink = -90.04, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.487
(1402625) TC: TC-1 = 24.51, modeled = 20.31, target = 50.00, heatSink = -90.24, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.480
(1402780) TC: TC-1 = 24.51, modeled = 20.38, target = 50.00, heatSink = -90.29, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.472
(1402927) TC: TC-1 = 24.51, modeled = 20.45, target = 50.00, heatSink = -89.97, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.464
(1403076) TC: TC-1 = 24.51, modeled = 20.52, target = 50.00, heatSink = -89.50, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.457
